Branch#,Branch Name,Group,Code,Description,Long Description 1,Last Supplier,Outer Qty,Outer Desc,Jul2018 Qty Start,Free Stock,Ytd Qty Sold,Min Qty,Max Qty,Unit
"0","All","02","EYS6802","230x280mm P100 Wet n Dry Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","EYS6803","230x280mm P120 Wet n Dry Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","EYS6805","230x280mm P180 Wet n Dry Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","EYS6807","230x280mm P240 Wet n Dry Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","EYS6810","230x280mm P400 Wet n Dry Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","EYS6812","230x280mm P800 Wet n Dry Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","EYS6814","230x280mm P1200 Wet n Dry Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","NORSD10016","stripping disc 100mm x 16mm","rapid strip abrasive disc 100mm x 16mm","SAIGOB","0","","5","5","0","0","0",""
"0","All","02","NORSD11522","stripping disc 115mm x 22mm","rapid strip abrasive disc 115mm x 22mm","SAIGOB","0","","2","7","3","0","0",""
"0","All","02","NORSD12522","stripping disc 125mm x 22mm","rapid strip abrasive disc 125mm x 22mm","SAIGOB","0","","5","5","0","0","0",""
"0","All","02","PDPSSTM7001506","150mm Stormwater Pipe 700.150.6m","","PFGLOBAL","0","","3","3","3","0","0",""
"0","All","04","01345","Gorilla Bond it On Aliphatic PVA 250ml","","HOLNEW","0","","2","1","1","0","0",""
"0","All","04","01346","Gorilla Bond it On Aliphatic PVA 500ml","","HOLNEW","0","","2","2","0","0","0",""
"0","All","04","01372","HOLDFAST ALIPHATIC WOOD GLUE PVA 250ml","","HOLNEW","0","","1","0","2","0","0",""
"0","All","04","01373","HOLDFAST ALIPHATIC WOOD GLUE PVA 500ml","","HOLNEW","0","","2","2","0","0","0",""
"0","All","04","01403","Gorilla Pro Gaps Int & Ext 459g","","HOLNEW","0","","12","11","1","0","0",""
"0","All","04","01412","Gorilla Builders Bog 453g","","HOLNEW","0","","3","3","0","0","0",""
"0","All","04","01491","Gorilla H2 Contact Spray Adhesive 450ml","","HOLNEW","0","","2","2","0","0","0",""
"0","All","04","01498","Gorilla Glue Premium 3 Hr Cure 250ml","","HOLNEW","0","","2","1","1","0","0",""
"0","All","04","01499","Gorilla Glue Premium 3 Hr Cure 500ml","","HOLNEW","0","","2","2","0","0","0",""
"0","All","04","19290","Gorilla Grip 2hr Const Const 310ml","Gorilla Grip 2hr Cure Construction Adhesive 310ml","HOLNEW","0","","0","6","18","0","0",""
"0","All","04","19305","Gorilla Plumbers Silicone Sealant 300ml","Gorilla Plumbers Silicone Sealant 300ml Clear","HOLNEW","0","","12","11","1","0","0",""
"0","All","04","19331","FixAll MS Crystal Sealant Adhesive 300ml","FixAll MS Crystal Sealant Adhesive 300ml Clear","HOLNEW","0","","12","9","1","0","0",""
"0","All","04","20050","GORILLA PRO EXPANDING FOAM 400ML","","HOLNEW","0","","10","6","6","6","12","EA"
"0","All","04","20088","Gorilla Pro Expanding Foam 750ml Click","Gorilla Pro Expanding Foam 750ml Click N Fix","HOLNEW","0","","12","14","1","0","0","EA"
"0","All","04","20107","Gorilla Expanding Foam Cleaner 500ml","Gorilla Expanding Foam Cleaner 500ml Click N Fix","HOLNEW","0","","3","2","1","0","0","EA"
"0","All","04","20180","Liquid Bond Const Adhesive 300ml","","HOLNEW","0","","12","6","6","0","0",""
"0","All","04","20190","Gorilla Fire Cement Sealant 310ml","","HOLNEW","0","","11","11","2","0","0",""
"0","All","04","21423","Gorilla Boltfix Anchoring Adhesive 300ml","","HOLNEW","0","","6","2","4","0","0",""
"0","All","04","39163","Fox H Packer Starter Pack Assort Colors","","HOLNEW","0","","2","2","0","0","0",""
"0","All","04","ASAMPSS300","AMPELITE POLYCARBONATE SEALANT SEAL-ONCE","AMPELITE POLYCARBONATE SEALANT SEAL-ONCE 300ml","AMPLIM","0","","0","0","0","0","0",""
"0","All","04","ASARWA1","HOLDFAST RESORCINOL WOOD ADHESIVE 1LT","","HOLNEW","0","","0","0","0","0","0",""
"0","All","04","ASBG4490500","BUILDERS GLUE 4490 500ml","","BUNLTD","0","","0","0","0","0","0",""
"0","All","04","ASBOGSW375","BOSTIK GOLD STUD & WALLBOARD 375ML CART","","BOSNEW","0","","0","0","0","0","0",""
"0","All","04","ASBOGSW600","BOSTIK GOLD STUD & WALLBOARD 600ML SAUS","","BOSNEW","0","","0","0","0","0","0",""
"0","All","04","ASBOPHM600","BOSTIK PANELTACK HM 600ml SAUSAGE","","PBSDIS","0","","0","0","0","0","0",""
"0","All","04","ASBOSC410","BOSTIK SAFETECH SAFECLEAR 410ML","","BOSNEW","0","","0","0","0","0","0",""
"0","All","04","ASBOSNF300","BOSTIK SEAL-N-FLEX 1 WHITE 300ML CART","","BOSNEW","0","","0","0","0","0","0",""
"0","All","04","ASBOSNF600S","BOSTIK SEAL-N-FLEX 600ML SAUSAGE","","BGCFIB","0","","0","0","0","0","0",""
"0","All","04","ASBOSPM250","BOSTIK SIMSON PRIMER M - 250ml","","PBSDIS","0","","0","0","0","0","0",""
"0","All","04","ASBOSPMSP500","BOSTIK SIMSON PRIMER MSP - 500ml","","PBSDIS","0","","0","0","0","0","0",""
"0","All","04","ASBOSSM375W","BOSTIK SAFE SEAL MS WHITE 375ML CART","","PBSDIS","0","","0","0","0","0","0",""
"0","All","04","ASCCF12253S","CLOSEDCELL FOAM 12.7mm X 25mm X 3 SOFT","CLOSEDCELL FOAM 12.7mm X 25mm X 3m SOFT MWS5","BUNLTD","0","","0","0","0","0","0",""
"0","All","04","ASCPL400","CHEMZ PENETRENE LUBRICANT 400ml","","MSL","0","","0","0","0","0","0",""
"0","All","04","ASCRC556400","CRC 5.56 400ml Aerosol","","CRCIND","6","Box","0","12","0","0","0","EACH"
"0","All","04","ASCRCAF24","CRC ADOS CONTACT F2 4 LITRE 8014","","BUNLTD","0","","0","0","0","0","0",""
"0","All","04","ASCRCAF2500","CRC ADOS CONTACT F2 500ml 8009","","BUNLTD","0","","0","0","0","0","0",""
"0","All","04","ASCRCAF9120","CRC ADOS F91 RED 20L","","CRCIND","0","","0","0","0","0","0",""
"0","All","04","ASCRCBF1","CRC BUILDERS FILL 1 LITRE #7074","","CRCIND","0","","0","0","0","0","0",""
"0","All","04","ASCRCBF500","CRC BUILDERS FILL 500ml #7073","","CRCIND","0","","0","0","0","0","0",""
"0","All","04","ASCRCBG1000","CRC BUILDERS GLUE PACK 2 POT 1000ml","","CRCIND","0","","0","0","0","0","0",""
"0","All","04","ASCRCBG500","CRC BUILDERS GLUE PACK 2 POT 500ml #4490","","CRCIND","0","","0","0","0","0","0",""
"0","All","04","ASCRCBZ400","CRC BRIGHT ZINC 400ml 2087","","BUNLTD","0","","0","0","0","0","0",""
"0","All","04","ASCXCO400","CHEMZ XTRA CUTTING OIL 400ml","","MSL","0","","0","0","0","0","0",""
"0","All","04","ASCZRC400","CHEMZ ZINC RICH COATING 400ml","","MSL","0","","0","0","0","0","0",""
"0","All","04","ASDSA595","DOOR SEAL ADHESIVE 5mm X 9mm X 5","","BUNLTD","0","","0","0","0","0","0",""
